No,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
316,AKAM,Akamai Technologies Inc,Technology,Software - Infrastructure,USA,17.10B,38.37,118.00,1.94%,"4,114,254"
317,AKAN,Akanda Corp,Healthcare,Drug Manufacturers - Specialty & Generic,United Kingdom,1.38M,-,0.69,-0.99%,"88,962"
318,AKBA,Akebia Therapeutics Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,369.67M,-,1.38,-2.13%,"1,876,856"
319,AKO-A,Embotelladora Andina S.A. ADR,Consumer Defensive,Beverages - Non-Alcoholic,Chile,1.97B,14.35,25.00,12.71%,"2,247"
320,AKO-B,Embotelladora Andina S.A. ADR,Consumer Defensive,Beverages - Non-Alcoholic,Chile,2.02B,13.38,25.64,-1.63%,"6,275"
321,AKR,Acadia Realty Trust,Real Estate,REIT - Retail,USA,2.59B,206.38,19.42,0.88%,"1,367,588"
322,AKRE,Akre Focus ETF,Financial,Exchange Traded Fund,USA,-,-,52.92,0.42%,"508,748"
323,AKTS,Aktis Oncology Inc,Healthcare,Biotechnology,USA,927.56M,-,17.37,1.76%,"380,427"
324,AKTX,Akari Therapeutics Plc ADR,Healthcare,Biotechnology,USA,202.36M,-,4.47,-3.87%,"5,577"
325,AL,Air Lease Corp,Industrials,Rental & Leasing Services,USA,7.28B,6.98,64.95,0.00%,"3,049,147"
326,ALAB,Astera Labs Inc,Technology,Semiconductors,USA,19.94B,96.10,117.14,10.17%,"4,481,088"
327,ALAI,Alger AI Enablers & Adopters ETF,Financial,Exchange Traded Fund,USA,-,-,33.70,0.27%,"178,871"
328,ALAR,Alarum Technologies Ltd ADR,Technology,Software - Infrastructure,Israel,45.38M,47.28,6.25,3.14%,"17,167"
329,ALB,Albemarle Corp,Basic Materials,Specialty Chemicals,USA,20.99B,-,178.09,-0.21%,"1,145,781"
330,ALBG,Leverage Shares 2X Long ALB Daily ETF,Financial,Exchange Traded Fund,USA,-,-,14.83,-0.17%,"2,037"
331,ALBT,Avalon GloboCare Corp,Real Estate,Real Estate Services,USA,4.65M,-,0.58,9.06%,"255,842"
332,ALC,Alcon Inc,Healthcare,Medical Instruments & Supplies,Switzerland,36.34B,37.75,74.56,-1.26%,"1,279,801"
