No,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Change_Pct,PE_Ratio,Market_Cap_USD,Vol_Intensity,Cluster
282,AIO,Virtus Artificial Intelligence & Technology Opportunities Fund,Financial,Closed-End Fund - Equity,USA,750.58M,5.17,21.8,-0.23%,53271,-0.23,5.17,750580000.0,7.097311403051891e-05,0
283,AIOO,AllianzIM U.S. Equity Buffer100 Protection ETF,Financial,Exchange Traded Fund,USA,-,-,25.7,0.08%,24896,0.08,19.07,,,0
284,AIOS,AIOS Tech Inc,Technology,Information Technology Services,China,2.55M,-,0.55,-2.38%,128628,-2.38,19.07,2550000.0,0.050442333159869346,0
285,AIOT,PowerFleet Inc,Technology,Software - Infrastructure,USA,413.17M,-,3.08,1.32%,1773575,1.32,19.07,413170000.0,0.004292603518424369,0
286,AIP,Arteris Inc,Technology,Semiconductors,USA,827.50M,-,18.2,3.70%,428823,3.7,19.07,827500000.0,0.0005182151051139394,0
287,AIPI,REX AI Equity Premium Income ETF,Financial,Exchange Traded Fund,USA,-,-,34.21,0.38%,83229,0.38,19.07,,,0
288,AIPO,Defiance AI & Power Infrastructure ETF,Financial,Exchange Traded Fund,USA,-,-,25.44,0.16%,155059,0.16,19.07,,,0
289,AIQ,Global X Artificial Intelligence & Technology ETF,Financial,Exchange Traded Fund,USA,-,-,47.27,-0.15%,1661318,-0.15,19.07,,,0
290,AIR,AAR Corp,Industrials,Aerospace & Defense,USA,4.37B,24.17,109.78,-1.43%,410229,-1.43,24.17,4370000000.0,9.387391302199682e-05,0
291,AIRE,reAlpha Tech Corp,Real Estate,Real Estate Services,USA,32.99M,-,0.25,-1.77%,1024802,-1.77,19.07,32990000.000000004,0.03106401845819889,0
292,AIRG,Airgain Inc,Technology,Communication Equipment,USA,66.50M,-,5.44,3.42%,68189,3.42,19.07,66500000.0,0.0010253984808210755,0
