No,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,MarketCap_Num,PE_Num,Change_Num,Volume_Num,Cap_Category,Is_Gainer,Is_Loser,Abs_Change,Log_Volume,Log_MarketCap,Price_Band,Change_ZScore
634,ASCI,abrdn International Small Cap Active ETF,Financial,Exchange Traded Fund,USA,-,-,33.26,-1.60%,122,,,-1.6,122,Unknown,False,True,1.6,4.812184355372417,,Low,-0.4808397779555421
635,ASEA,Global X FTSE Southeast Asia ETF,Financial,Exchange Traded Fund,USA,-,-,19.43,-0.77%,"39,274",,,-0.77,39274,Unknown,False,True,0.77,10.578343463123822,,Very Low,-0.27369671853863664
636,ASG,Liberty All-Star Growth Fund Inc,Financial,Closed-End Fund - Equity,USA,304.26M,22.00,4.84,0.41%,"168,823",304260000.0,22.0,0.41,168823,Small Cap,True,False,0.41,12.03661203113215,19.533393160285918,Penny,0.020795823764915705
637,ASGI,abrdn Global Infrastructure Income Fund,Financial,Closed-End Fund - Equity,USA,661.43M,8.22,22.85,0.79%,"117,261",661430000.0,8.22,0.79,117261,Small Cap,True,False,0.79,11.67216602648737,20.309914717326,Low,0.11563240518470376
638,ASGM,Virtus AlphaSimplex Global Macro ETF,Financial,Exchange Traded Fund,USA,-,-,28.42,-0.10%,3,,,-0.1,3,Unknown,False,True,0.1,1.3862943611198906,,Low,-0.10648485129848402
639,ASGN,ASGN Inc,Technology,Information Technology Services,USA,1.61B,14.99,39.05,1.51%,"386,215",1610000000.0,14.99,1.51,386215,Small Cap,True,False,1.51,12.864152077429619,21.1995000165639,Low,0.2953227699800916
640,ASH,Ashland Inc,Basic Materials,Specialty Chemicals,USA,2.49B,-,54.39,-1.89%,"412,447",2490000000.0,,-1.89,412447,Mid Cap,False,True,1.89,12.929865416204507,21.635548547824634,Mid,-0.5532150637759067
641,ASHR,Xtrackers Harvest CSI 300 China A-Shares ETF,Financial,Exchange Traded Fund,USA,-,-,32.58,-0.55%,"4,290,877",,,-0.55,4290877,Unknown,False,True,0.55,15.27200193196845,,Low,-0.21879132929560147
642,ASHS,Xtrackers Harvest CSI 500 China A-Shares Small Cap ETF,Financial,Exchange Traded Fund,USA,-,-,40.19,-0.62%,"9,199",,,-0.62,9199,Unknown,False,True,0.62,9.126958763037132,,Low,-0.23626122587293083
643,ASIA,Matthews Pacific Tiger Active ETF,Financial,Exchange Traded Fund,USA,-,-,34.67,-1.41%,"1,014",,,-1.41,1014,Unknown,False,True,1.41,6.922643891475888,,Low,-0.43342148724564805
644,ASIC,Ategrity Specialty Insurance Company Holdings,Financial,Insurance - Property & Casualty,USA,957.97M,12.90,19.93,2.31%,"50,670",957970000.0,12.9,2.31,50670,Small Cap,True,False,2.31,10.833109033818927,20.680327021248594,Very Low,0.49497873086385596
645,ASIX,AdvanSix Inc,Basic Materials,Chemicals,USA,680.42M,14.02,25.32,0.88%,"673,456",680420000.0,14.02,0.88,673456,Small Cap,True,False,0.88,13.420179427211563,20.33822081399749,Low,0.13809370078412725
646,ASLE,AerSale Corp,Industrials,Airports & Air Services,USA,291.48M,32.19,6.17,-0.96%,"196,544",291480000.0,32.19,-0.96,196544,Micro Cap,False,True,0.96,12.188646691706795,19.490481954197122,Very Low,-0.32111500924853065
647,ASLV,Allspring Special Large Value ETF,Financial,Exchange Traded Fund,USA,-,-,27.85,-0.12%,"2,136",,,-0.12,2136,Unknown,False,True,0.12,7.667158255319148,,Low,-0.11147625032057813
648,ASM,Avino Silver & Gold Mines Ltd,Basic Materials,Other Precious Metals & Mining,Canada,1.10B,37.49,6.53,-0.91%,"4,192,799",1100000000.0,37.49,-0.91,4192799,Small Cap,False,True,0.91,15.248879326470094,20.818576017659826,Very Low,-0.30863651169329537
649,ASMB,Assembly Biosciences Inc,Healthcare,Biotechnology,USA,460.18M,-,29.01,-1.43%,"37,857",460180000.0,,-1.43,37857,Small Cap,False,True,1.43,10.541597597166165,19.947128277428725,Low,-0.43841288626774216
